dexy - INFO - starting logging for dexy
dexy - INFO - (state:running) 010ca4aba378224c88205858cf6b288e doc:node_modules/grunt/node_modules/underscore.string/test/test_underscore/vendor/qunit.js: running...
dexy - INFO - (state:running) 954b7a79e4eff98127cc5e7c20fba748 doc:node_modules/grunt/node_modules/findup-sync/node_modules/glob/node_modules/minimatch/node_modules/sigmund/test/basic.js: running...
dexy - INFO - (state:running) 59b5736a296bb2c8f7c017ccf517ce0e doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/minimatch/test/defaults.js: running...
dexy - INFO - (state:running) 61ff7b86238a486034f0aa15780f2776 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/test/fixtures/expand/js/foo.js: running...
dexy - INFO - (state:running) a821fd78327a6d290e71bed4ff073161 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/glob/node_modules/inherits/inherits.js: running...
dexy - INFO - (state:running) 96835a918b14caf4559789a364dd0dfb doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/glob/test/root-nomount.js: running...
dexy - INFO - (state:running) 88b60939d6d4e8fc3fc33a5674d2930a doc:node_modules/grunt/node_modules/underscore.string/test/underscore.js: running...
dexy - INFO - (state:running) b20d7327e065990a53d45c13ad904e30 doc:node_modules/grunt/node_modules/js-yaml/lib/js-yaml/type/js/undefined.js: running...
dexy - INFO - (state:running) 44dd30731aea63b9eaa5d21699162c8a doc:node_modules/grunt/node_modules/lodash/build/post-compile.js: running...
dexy - INFO - (state:running) 9af22c728184c2534d62cbc7c9031f17 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/glob/test/pause-resume.js: running...
dexy - INFO - (state:running) 4aef03d7b40b01e9a0b6d85daf041e6b doc:node_modules/grunt/node_modules/lodash/vendor/tar/vendor/fstream/lib/reader.js: running...
dexy - INFO - (state:running) 8a9b39b3079f46ecf7cdbd614afd50a2 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/minimatch/node_modules/lru-cache/lib/lru-cache.js: running...
dexy - INFO - (state:running) f89df6bbc4c59aad57f72d8225ac080e doc:node_modules/grunt/node_modules/grunt-legacy-log/node_modules/lodash/dist/lodash.compat.js: running...
dexy - INFO - (state:running) ceb2f98da244a625275e54fb8035ae84 doc:node_modules/grunt/node_modules/grunt-legacy-util/test/fixtures/Gruntfile-execArgv.js: running...
dexy - INFO - (state:running) 12fe333b29eb7f177923dd5cf891d291 doc:node_modules/grunt/node_modules/js-yaml/lib/js-yaml/type/js/function.js: running...
dexy - INFO - (state:running) 8b88b47b3e4133d4e3dadd84005787ed doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/faye-websocket/spec/faye/websocket/draft75parser_spec.js: running...
dexy - INFO - (state:running) d7ef4a40b421ffe6fd7151b5c8859bb5 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/vendor/tar/vendor/rimraf/rimraf.js: running...
dexy - INFO - (state:running) 1c47e9d70628d926ea71891674183688 doc:node_modules/grunt/node_modules/js-yaml/index.js: running...
dexy - INFO - (state:running) d7784779be67700a5d887f7bb8c57568 doc:node_modules/grunt/node_modules/underscore.string/dist/underscore.string.min.js: running...
dexy - INFO - (state:running) 17a774b5512754c7ad5123b55ac9e656 doc:node_modules/grunt/node_modules/rimraf/bin.js: running...
